#Digilent WaveForms Spectrum Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321B81678
#Date Time: 2025-03-28 22:36:18.041
#Trace: Trace 1
#Start: 0 Hz
#Stop: 20000 Hz
#BINs: 4097
#Rate: 40000 Hz
#Samples: 8192
#Channel: C1
#Type: Sample
#Window: Flat Top
#Channel: C1
#Range: 5.43531 V
#Offset: -0.000212314 V
#Attenuation: 1 X
#Channel: C2
#Range: 5.42122 V
#Offset: 0.000158598 V
#Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1.2 kHz
#Period: 833.3333333 us
#Amplitude: 2 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -5 V

#2,4kHz
#1k ohm
#
Frequency (Hz),Trace 1 (V),Phase (deg)
0,0.003076794277129284,0
4.8828125,0.002972841549701877,0.395174122096967
9.765625,0.001989970056323623,2.128526127141963
14.6484375,0.0005980359906153922,5.942899981139084
19.53125,4.931622326163216e-05,28.36607152396855
24.4140625,1.499803042725761e-05,78.30059293856961
29.296875,2.10580268028068e-05,179.6414031583038
34.1796875,6.232907389843847e-05,20.94947803014025
39.0625,8.647721902004206e-05,26.46199126823841
43.9453125,9.391375885743263e-05,25.16274667027854
48.828125,8.58913531713207e-05,15.05725447119611
53.7109375,5.438001756173351e-05,178.9498510321023
58.59375,3.440350635481103e-05,131.5934042373398
63.4765625,4.547940815569239e-05,115.6772051787823
68.359375,4.024247894842982e-05,116.690251220748
73.2421875,2.586414026867103e-05,103.1135490086483
78.125,1.392735133424614e-05,77.88345876268562
83.0078125,1.644264608248806e-05,12.1606078668794
87.890625,2.424401477924622e-05,0.7009444354427677
92.7734375,2.39082511465841e-05,174.4267923408475
97.65625,2.058758038146903e-05,163.1466530639095
102.5390625,1.481234427486948e-05,110.6512298620975
107.421875,3.070122198476764e-05,82.08468452862253
112.3046875,4.40915731631291e-05,87.59469568467873
117.1875,4.369995318860333e-05,84.78531029643337
122.0703125,3.583462484649715e-05,70.77468951710804
126.953125,2.999784464699939e-05,41.89046067757339
131.8359375,3.082143818611451e-05,1.934369780088093
136.71875,3.668271589196374e-05,149.7108570765963
141.6015625,5.068376229766177e-05,144.7299243488981
146.484375,6.002201879029942e-05,152.7681423937252
151.3671875,4.622305622270964e-05,166.9715037918511
156.25,3.288372499994123e-05,19.27903037903762
161.1328125,2.524096716769675e-05,38.96822492248657
166.015625,1.22696171142057e-05,65.82124682663779
170.8984375,8.024760371959628e-06,137.2045669178966
175.78125,3.868758855414705e-06,164.6011072660529
180.6640625,1.78300844261401e-05,44.90812177161884
185.546875,3.652490991004743e-05,51.63223391251765
190.4296875,2.833964324927855e-05,49.11615313125448
195.3125,7.018479948901928e-06,7.451271703574936
200.1953125,2.224219996384477e-05,48.28736775629165
205.078125,4.510365152097894e-05,35.4588142262827
209.9609375,5.511767542477523e-05,17.8498246962739
214.84375,5.624073537576927e-05,175.139875052358
219.7265625,4.752575605100566e-05,159.498987423324
224.609375,3.484749661146218e-05,159.7892994451757
229.4921875,1.968519083249245e-05,155.9481095734303
234.375,6.04581085760211e-06,90.90423606952464
239.2578125,9.174483739459123e-06,17.42465979771635
244.140625,1.93656923448738e-05,57.53492730875293
249.0234375,3.840347683102796e-05,83.7125479076369
253.90625,4.941253009060897e-05,93.85338065658758
258.7890625,5.693242487728204e-05,95.97325961943012
263.671875,5.997071611440121e-05,93.1865601361402
268.5546875,4.262573070110733e-05,67.95979264408628
273.4375,3.916557840477152e-05,12.95425140429277
278.3203125,3.446225429219651e-05,16.42459389745984
283.203125,4.108690622467723e-05,87.66730889850392
288.0859375,7.444214198336353e-05,118.4773578925206
292.96875,0.0001049885250919664,136.3181187132262
297.8515625,0.0001315538445189794,147.7753544507098
302.734375,0.0001208804047742851,161.7731073147485
307.6171875,9.037762497909908e-05,4.677444876134532
312.5,6.80081043373556e-05,21.67772202672129
317.3828125,5.528363315770391e-05,33.68671081879769
322.265625,4.773117157219356e-05,53.62547597052592
327.1484375,4.895826726514835e-05,88.67275050351117
332.03125,7.16337793844574e-05,108.3222995969682
336.9140625,8.569459631241199e-05,110.6424709487956
341.796875,7.427139754893952e-05,112.3542714903635
346.6796875,5.107518257475358e-05,104.5363934944169
351.5625,3.396765555313969e-05,58.03595330617316
356.4453125,3.879723860854175e-05,7.371795841313503
361.328125,3.816374914852143e-05,179.6093151328218
366.2109375,3.572099040409086e-05,18.65643600380187
371.09375,4.305538785416427e-05,24.79079562917254
375.9765625,4.946357958443545e-05,19.74996906999454
380.859375,4.561009988190495e-05,14.25727296920046
385.7421875,2.842619574133419e-05,11.96617986297603
390.625,1.162753819733628e-05,81.45600647640616
395.5078125,2.962870308486506e-05,128.1059357048621
400.390625,3.351089697663772e-05,139.075507883699
405.2734375,1.575647943020099e-05,161.9057337680972
410.15625,2.08039922866564e-05,126.7118484194679
415.0390625,4.769621104503495e-05,142.7057304225454
419.921875,5.496828328492109e-05,159.2230458070122
424.8046875,6.191921029877397e-05,176.3611146518384
429.6875,7.130015690825899e-05,178.6370675936521
434.5703125,6.765551333279736e-05,171.451030156167
439.453125,5.934361991150833e-05,149.2328566576239
444.3359375,6.065353856059949e-05,126.3957662700778
449.21875,4.475475687186388e-05,107.7617187803641
454.1015625,2.831015995915489e-05,52.77275676530245
458.984375,4.157311986651566e-05,19.34834259602142
463.8671875,4.836385465838151e-05,21.48195825937164
468.75,4.473971899907659e-05,30.51316357736182
473.6328125,3.72301648055664e-05,37.91277641353209
478.515625,2.682189719870436e-05,35.96780753223644
483.3984375,1.423209479891713e-05,164.7612549364257
488.28125,3.379503131383621e-05,108.0818314689305
493.1640625,4.664843259886864e-05,93.01314506847356
498.046875,4.651039081109793e-05,63.15002369164839
502.9296875,5.698500725270293e-05,30.96875274287013
507.8125,6.90945017978199e-05,10.55017249496923
